4	256			
H.264	1024	0.0	25	4.02
H.264	1024	0.0	25	4.03
H.264	1024	0.0	25	5.00
H.264	1024	0.0	25	5.00
H.264	1024	0.0	25	4.60
H.264	1024	12.3	5	1.47
H.264	1024	11.7	5	1.43
H.264	1024	9.5	5	3.53
H.264	1024	12.5	5	1.60
H.264	1024	17.6	5	1.05
H.264	1024	1.2	1	1.74
H.264	1024	0.7	1	1.62
H.264	1024	0.5	1	4.43
H.264	1024	0.4	1	3.37
H.264	1024	0.4	1	1.67
H.264	1024	3.1	5	2.11
H.264	1024	6.0	5	1.06
H.264	1024	3.3	5	3.87
H.264	1024	4.9	5	3.18
H.264	1024	6.2	5	1.35
H.264	1024	0.0	1	4.02
H.264	1024	0.0	1	4.03
H.264	1024	0.1	1	4.50
H.264	1024	0.1	1	4.25
H.264	1024	0.2	1	1.69
H.264	1024	0.0	1	4.02
H.264	1024	0.0	1	4.03
H.264	1024	0.0	1	5.00
H.264	1024	0.0	1	5.00
H.264	1024	0.0	1	4.60
H.264	1024	1.2	5	1.29
H.264	1024	0.1	5	3.26
H.264	1024	0.9	5	4.15
H.264	1024	2.0	5	3.23
H.264	1024	3.2	5	1.67
H.264	1024	10.0	1	1.00
H.264	1024	11.8	1	1.00
H.264	1024	10.8	1	1.49
H.264	1024	11.5	1	1.00
H.264	1024	9.6	1	1.23
H.264	1024	0.0	10	4.02
H.264	1024	0.0	10	4.03
H.264	1024	0.2	10	4.79
H.264	1024	0.0	10	5.00
H.264	1024	0.0	10	4.60
H.264	1024	0.0	25	4.02
H.264	1024	0.0	25	4.03
H.264	1024	3.2	25	4.49
H.264	1024	0.0	25	5.00
H.264	1024	0.0	25	4.60
H.264	1024	0.0	25	4.02
H.264	1024	0.0	25	4.03
H.264	1024	6.9	25	4.52
H.264	1024	5.3	25	3.66
H.264	1024	0.0	25	4.60
H.264	1024	2.3	5	2.53
H.264	1024	0.5	5	2.63
H.264	1024	0.0	5	5.00
H.264	1024	0.0	5	5.00
H.264	1024	0.0	5	4.60
H.264	1024	3.5	10	3.08
H.264	1024	4.2	10	1.01
H.264	1024	2.1	10	4.64
H.264	1024	0.1	10	4.41
H.264	1024	1.2	10	2.19
H.264	1024	3.1	5	2.34
H.264	1024	1.3	5	2.06
H.264	1024	0.3	5	4.61
H.264	1024	0.3	5	4.13
H.264	1024	1.6	5	1.92
H.264	1024	29.5	25	1.42
H.264	1024	9.4	25	1.01
H.264	1024	13.3	25	4.09
H.264	1024	13.8	25	3.14
H.264	1024	11.2	25	2.12
H.264	1024	4.6	1	1.83
H.264	1024	3.9	1	1.00
H.264	1024	4.8	1	3.12
H.264	1024	5.1	1	1.72
H.264	1024	5.8	1	1.49
H.264	1024	2.7	10	1.33
H.264	1024	3.3	10	2.58
H.264	1024	4.0	10	4.40
H.264	1024	2.8	10	3.52
H.264	1024	7.8	10	1.81
H.264	1024	2.3	1	1.62
H.264	1024	1.8	1	1.36
H.264	1024	1.9	1	3.93
H.264	1024	1.9	1	2.33
H.264	1024	2.0	1	1.12
H.264	1024	0.0	5	4.02
H.264	1024	0.1	5	4.03
H.264	1024	0.0	5	5.00
